Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/trainers/1985/pokemon/,1,0,6763.6842,6763.6842,6763.6842,6763.6842,86.0,0.0017218351296630868,0.0,6800,6800,6800,6800,6800,6800,6800,6800,6800,6800,6800
POST,/trainers/1986/pokemon/,1,0,4577.8076,4577.8076,4577.8076,4577.8076,86.0,0.0017218351296630868,0.0,4600,4600,4600,4600,4600,4600,4600,4600,4600,4600,4600
POST,/trainers/1987/pokemon/,1,0,3914.516600000013,3914.516600000013,3914.516600000013,3914.516600000013,86.0,0.0017218351296630868,0.0,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900
POST,/trainers/1988/pokemon/,1,0,3315.628900000007,3315.628900000007,3315.628900000007,3315.628900000007,86.0,0.0017218351296630868,0.0,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300
POST,/trainers/1989/pokemon/,1,0,758.4666999999854,758.4666999999854,758.4666999999854,758.4666999999854,86.0,0.0017218351296630868,0.0,760,760,760,760,760,760,760,760,760,760,760
POST,/trainers/1990/pokemon/,1,0,3729.049500000002,3729.049500000002,3729.049500000002,3729.049500000002,86.0,0.0017218351296630868,0.0,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700
POST,/trainers/1991/pokemon/,1,0,734.5195999999987,734.5195999999987,734.5195999999987,734.5195999999987,86.0,0.0017218351296630868,0.0,730,730,730,730,730,730,730,730,730,730,730
POST,/trainers/1992/pokemon/,1,0,2796.941900000007,2796.941900000007,2796.941900000007,2796.941900000007,86.0,0.0017218351296630868,0.0,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
POST,/trainers/1993/pokemon/,1,0,1104.9213000000009,1104.9213000000009,1104.9213000000009,1104.9213000000009,86.0,0.0017218351296630868,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
POST,/trainers/1994/pokemon/,1,0,1409.3700999999896,1409.3700999999896,1409.3700999999896,1409.3700999999896,86.0,0.0017218351296630868,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
POST,/trainers/1995/pokemon/,1,1,7743.074200000024,7743.074200000024,7743.074200000024,7743.074200000024,21.0,0.0017218351296630868,0.0017218351296630868,7700,7700,7700,7700,7700,7700,7700,7700,7700,7700,7700
POST,/trainers/1996/pokemon/,1,0,6195.615000000003,6195.615000000003,6195.615000000003,6195.615000000003,86.0,0.0017218351296630868,0.0,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200
POST,/trainers/1997/pokemon/,1,0,1660.7759000000044,1660.7759000000044,1660.7759000000044,1660.7759000000044,86.0,0.0017218351296630868,0.0,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700
POST,/trainers/1998/pokemon/,1,0,649.597099999994,649.597099999994,649.597099999994,649.597099999994,86.0,0.0017218351296630868,0.0,650,650,650,650,650,650,650,650,650,650,650
POST,/trainers/1999/pokemon/,1,0,5722.91229999999,5722.91229999999,5722.91229999999,5722.91229999999,86.0,0.0017218351296630868,0.0,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700
GET,/trainers/2,532,0,1100.0,1347.7848524436115,10.751200000001404,8068.19680000001,1402.0,0.9160162889807622,0.0,1100,1400,1800,2100,2800,3700,5200,5800,8100,8100,8100
POST,/trainers/2000/pokemon/,1,0,838.218999999981,838.218999999981,838.218999999981,838.218999999981,86.0,0.0017218351296630868,0.0,840,840,840,840,840,840,840,840,840,840,840
POST,/trainers/2001/pokemon/,1,0,1413.3833999999865,1413.3833999999865,1413.3833999999865,1413.3833999999865,86.0,0.0017218351296630868,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
POST,/trainers/2002/pokemon/,1,0,8175.554199999993,8175.554199999993,8175.554199999993,8175.554199999993,86.0,0.0017218351296630868,0.0,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200
POST,/trainers/2003/pokemon/,1,0,949.2897999999741,949.2897999999741,949.2897999999741,949.2897999999741,86.0,0.0017218351296630868,0.0,950,950,950,950,950,950,950,950,950,950,950
POST,/trainers/2004/pokemon/,1,0,749.4771000000071,749.4771000000071,749.4771000000071,749.4771000000071,86.0,0.0017218351296630868,0.0,750,750,750,750,750,750,750,750,750,750,750
